0.00000 0.01709 0.04205 0.01398 0.03442 0.00568 0.00189 0.34338 0.00171 0.05676 0.11429 0.23016 0.07660 0.00055 0.00848 0.00629 0.04648 
0.00909 0.00302 0.00333 0.04517 0.00061 0.00247 0.01660 0.00089 0.02029 0.01233 0.82123 0.03348 0.00006 0.00272 0.00110 0.02737 
0.00140 0.00421 0.00571 0.00772 0.00345 0.00208 0.12686 0.00345 0.01147 0.09396 0.56854 0.08502 0.00467 0.00421 0.01404 0.06299 
0.00092 0.00134 0.00247 0.00302 0.02484 0.01233 0.09122 0.06116 0.01117 0.01361 0.67413 0.05533 0.00165 0.00677 0.01233 0.02747 
0.00021 0.00015 0.03641 0.00079 0.00812 0.16321 0.29739 0.24347 0.18036 0.06003 0.19934 0.12091 0.00024 0.00330 0.04022 0.00296 
0.01648 0.00449 0.02719 0.01001 0.00012 0.00180 0.00998 0.00299 0.49460 0.20108 0.14896 0.02719 0.00003 0.00040 0.01648 0.00006 
0.00668 0.00223 0.00546 0.00089 0.03311 0.03659 0.11002 0.09955 0.14847 0.49304 0.06671 0.05463 0.00006 0.00009 0.05463 0.00031 
0.00119 0.00073 0.00040 0.00003 0.00058 0.01343 0.00299 0.03656 0.24445 0.03308 0.27014 0.07361 0.00000 0.00000 0.01099 0.00003 
0.00058 0.00018 0.03561 0.00015 0.07172 0.14441 0.29083 0.09680 0.00238 0.03561 0.02637 0.19495 0.01599 0.03934 0.01309 0.03223 
0.00137 0.00558 0.03748 0.00204 0.00034 0.00018 0.01376 0.00055 0.00186 0.06830 0.02777 0.68149 0.00458 0.00153 0.00168 0.02271 
0.00012 0.00006 0.00464 0.00012 0.00153 0.01263 0.07657 0.01144 0.02548 0.02304 0.07657 0.34320 0.00693 0.02084 0.02817 0.03802 
0.00040 0.00018 0.00156 0.00104 0.00076 0.00092 0.04672 0.00381 0.02100 0.08511 0.15509 0.34518 0.00421 0.00632 0.01151 0.01407 
0.00934 0.00464 0.06250 0.05655 0.09323 0.13907 0.51035 0.02078 0.00073 0.00308 0.34210 0.10303 0.01703 0.06906 0.01703 0.02298 
0.00522 0.00156 0.00470 0.01566 0.00574 0.00171 0.00470 0.00012 0.00635 0.00211 0.28491 0.00470 0.00949 0.00949 0.00348 0.00385 
0.00385 0.00095 0.00259 0.00076 0.03162 0.00638 0.06366 0.01419 0.28537 0.19128 0.23364 0.08594 0.00778 0.01569 0.00385 0.03162 
0.00284 0.00067 0.00027 0.00009 0.05157 0.00381 0.08505 0.00345 0.07693 0.05701 0.62842 0.15497 0.00516 0.02560 0.00232 0.02316 
